,Filter,Orignal
476,were sorry hear experience send us dm email address connect,@115878 We're sorry to hear this was your experience. Can you send us a DM with your email address so we can connect?
477,literally stranded support phone number wait message smh ‍,Literally stranded because of @115873 and because there is no support phone number I have to wait from a message from @Uber_Support Smh 🤦🏾‍♂️
478,were sorry hear experience ray please contact us via well touch,"@115880 We're sorry to hear this was your experience, Ray. Please contact us via https://t.co/aBEgvdNWQN and we'll be in touch."
479,hour inside old altima smells ripped stain seats inexperienced miami driver standards applying,"1 hour+ inside an old Altima that smells and has ripped stain seats, with an inexperienced miami driver @115873 standards down now 4 applying!"
480,hi cade thanks much sending sent email store manager look,"@115881 Hi Cade, thanks so much for sending that over. I have sent an email to the Store Manager to look into this for you. 1/2"
481,tall lady ft slim till think blonde hair served guy knowing didnt queue like others,"@Tesco Tall lady 6ft, slim, was on the till about 15:10, think she had blonde hair. She served the guy after knowing he didn’t queue up like others"
482,hi cade colleagues name give description store nick,"@115881 Hi Cade, what was my colleagues name? Can you give a description? When were you in our store? - Nick"
483,wrong really dont appreciate needs investigate simply queuing pay guy pushed,@Tesco 3/3 on the wrong which I really don’t appreciate. This needs to be investigate and I was simply queuing to pay and the guy pushed in😡
484,im sorry earlier flight may available time scheduled change tmt,@115882 I'm sorry. The earlier flight may not have been available at the time of your scheduled change. *TMT
485,checked daily flight never offered option certainly would made adjust trip,@Delta I checked daily and flight 1403 was never offered as an option as I most certainly would have made the adjust on my trip.
486,apologies flight never showed search would mean full tmt,"@115882 My apologies. If that flight never showed up on your search, that would mean it was full.  *TMT"
487,earlier flight offered tried rebook cool happened look moniter deplaning,"@Delta why wasn't earlier flight offered when I tried to rebook, not cool at all. Just happened to look at moniter after deplaning."
488,please share additional details nature technical issue afc,@115883 Please share additional details about the nature of this technical issue.  *AFC
489,via dm,@Delta Via DM?
490,please afc,@115883 Please do.  *AFC https://t.co/6iDGBJAc2m
491,dmd screenshot explanation,@Delta Just DM'd you with a screenshot and explanation.  😊
492,seems technical issue still ben fixed look again ‍,@Delta It seems this technical issue still hasn't Ben fixed.   Can you look into it again?  🙆🏼‍♂️
493,sincerely apologize team diligently working it working soon tmc,"@115883 I sincerely apologize, our IT team is diligently working on it, we should have it up and working very soon.  *TMC"
494,change flight search option website broken,"@Delta The ""change flight"" search option on your website is broken once again.  😑"
495,oh no please speak member flt crew immediate assistance aab,"@115884 Oh, no! Please speak to a member of the flt crew for immediate assistance. *AAB"
496,inflight studio experience today nothing works except twitter,.@delta this has been my inflight studio experience today. Nothing works except Twitter #toobadforyouandme https://t.co/VLo4ufL73y
497,,@115885 2/2 https://t.co/6iDGBJAc2m
498,ive done already,@Delta Is that not what I’ve done already?
499,reply dm thread,@Delta Can you reply on the DM thread?
500,time ago havent heard,@Delta I did this some time ago now but haven’t heard from you...
501,hello richard please dm confirmation try assist tcc,"@115885 Hello, Richard! Please DM your confirmation# and I will try to assist. *TCC"
502,actually looked disagree say idea do,"@Delta Actually, I just looked again and they disagree and say it's on you. Any idea what I should do? https://t.co/twIogKd3Kx"
503,hi thanks think figured would youre running mexmid flight need check via aeromexico,@Delta Hi - and thanks. Think I just figured this out. Would it be you’re not running the MEX-MID flight so I need to check in via AeroMexico?
504,hi richard pls dm confirmation number may look matter you thanks tjf,"@115885 Hi, Richard. Can you pls DM your confirmation number so I may look into this matter for you? Thanks! *TJF https://t.co/6iDGBJAc2m"
505,im flying jfkmexmid tomorrow say im booked in looks like first leg check please,"@Delta I'm flying JFK-MEX-MID tomorrow and you say I'm booked in, but it looks like it's just the first leg. Can you check, please?"
506,hi richard apologize delayed response time please dm conf review trip details tlt,"@115885 Hi Richard, I apologize for the delayed response time. Please DM your conf # so I can review your trip details.  *TLT... 1/2"
507,sincerely apologize disappointment always strive create positive customer experience ajc,@115886 We sincerely apologize for your disappointment. We always strive to create a positive customer experience. *AJC
508,,@Delta #Again #nothing #bs #no #answers
509,hi caesar dm confirmation link provided glad look tbt,"@115886 Hi Caesar, can you DM your confirmation # to the link provided? I will be glad to look into this for you.   *TBT https://t.co/6iDGBJAc2m"
510,again ill dm give,@Delta Same again! #equipment #change #no #guaranteed #seats #apologies I’ll DM you if you can give me a #real #answer and no #standard #bs #answers
511,would glad look tbt,@115886 I would be glad to look into this for you.  *TBT
512,ok full flight change nothing comfort class and handling agent telling would take care us please non excuse ill retwitter reply thanks,"@Delta OK it was not a full flight, #equipment change had nothing to do with comfort class, no #disabilities (and a handling agent telling #customer #care would take care of us) So please non of these as an excuse! I’ll retwitter your reply! Thanks"
513,thanks patience hck,@115886 Thanks for your patience. *HCK
514,thanks hck,@115886 Thanks!  *HCK
515,thank important part delta hck,@115886 Thank you for being the most important part of Delta.  https://t.co/YfI5Cj9udk *HCK
516,including link commitment customers please let us know assistance hck,"@115886 I am including a link of our Commitment to our customers, please let us know if we can be of further assistance.  *HCK"
517,difficult assign seating aircraft configuration may different hck,@115886 It can be difficult to assign the same seating because the aircraft configuration may be different.  *HCK
518,possible hck,@115886 ...possible. *HCK 2/2
519,unfortunately able guarantee seats flight schedules hck,"@115886 Unfortunately, we are not able to guarantee seats nor flight schedules.  *HCK"
520,hi caesar thank patience opportunity read thread hck,"@115886 Hi Caesar, I thank you for your patience. I had an opportunity to read the thread. *HCK"
521,please remember help tweet away wonderful evening hck,@115886 Please remember that help is just a tweet away. Have a wonderful evening.  *HCK
522,obviously read already said before give exactly bs answers know guarantee like know moved us know employee sitting seat cant say,"@Delta Obviously you didn't read what already was said before, you do give exactly the same bs answers. I know there is no guarantee but I like to know why they moved us. I know, because a #Delta employee was sitting in my seat and you can't say that 😡😡😡"
523,guaranteed changed operational needs required abn,@115886 ...guaranteed. It was changed because operational needs required such.  *ABN 3/3
524,tweets,@Delta Is this a #computer #answering my tweets? 😂😂😂 #unbelievable!!!!! same #stupid #answers!!
525,receiving answers information thats relayed abn,@115886 You're receiving the same answers because the information that's being relayed is the same.  *ABN
526,a real abn,@115886 *a real *ABN
527,even,@Delta Even #worse 😜
528,thank tweeting us tonight caesar abn,"@115886 ...Thank you for tweeting us tonight, Caesar. *ABN 2/2"
529,regret happy information given apologize able address concerns via channel,@115886 I regret that you aren't happy with the information given and apologize for not being able to address your concerns via this channel.... 1/2
530,assure you im areal person caesar abn,"@115886 I assure you, I'm areal person, Caesar.  *ABN"
531,shift such though try best honor seat requests note that request,"@115886 ...to shift. Because of such, though we try our best to honor seat requests, do note - it's just that, a request and is not... 2/3"
532,understand frustration apologize experience previously explained schedule changes occur causing seat,"@115886 I understand your frustration and apologize again for your experience. As previously explained, schedule changes occur causing seats... 1/3"
533,thank important part delta hck,@115886 Thank you for being the most important part of Delta.  *HCK
534,may ticket number please unfortunately confirmation provide longer active hck,"@115886 May I have your ticket number, please? Unfortunately, the confirmation provide is no longer active.  *HCK"
535,,@Delta 0062395415777
536,good evening caesar hck,"@115886 Good evening, Caesar!  *HCK"
537,would like sincerely apologize stress frustration inconvenience endured due equipment change hck,"@115886 I would like to sincerely apologize for the stress, frustration, and the inconvenience that you endured due to an equipment change.  *HCK"
538,event equipment change put forth best efforts seat everyone together were sometimes,"@115886 In the event of an equipment change, we put forth our best efforts to seat everyone together as they were, but sometimes that is not... 1/2"
539,moves moment results got real reason changed,@delta #delta moves you to #dm the moment you have a #complaint with no results. Just got some #bs #answers but no real reason why they changed our #seating!
540,hmm try restarting device holding sleepwake volume buttons seconds keep us posted ls,@115887 Hmm. Can you try restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds? Keep us posted /LS
541,doesnt work even tried deleting app,@SpotifyCares doesn’t work and i even tried deleting the app
542,could send us dm accounts email address well take look backstage ch,@115887 Could you send us a DM with your account's email address? We'll take a look backstage /CH https://t.co/ldFdZRiNAt
543,premium amp shuffle turns song done plays order repeat lights doesnt repeat,@SpotifyCares Premium &amp; when i️ have it on shuffle it turns off when the song is done and just plays in order and the repeat lights up but doesn’t repeat
544,thanks sure free premium also give us info happens try using it cb,"@115887 Thanks. Just to be sure, are you Free or Premium? Also, can you give us more info on what happens when you try using it? /CB"
545,iphone recent update spotify,@SpotifyCares iphone 7+ and i have the most recent update for spotify
546,hey device operating system spotify version using well see suggest cb,"@115887 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB"
547,im pissed shuffle repeat button dont fucking work im getting frustrated,i’m pissed my @115888 shuffle and repeat button just don’t fucking work and i’m getting frustrated
548,got possible moment well pass suggestion could try reinstalling app pb,"@115889 Got it. It's not possible at the moment, but we'll pass on the the suggestion. Could you try reinstalling the app? /PB"
549,yes multiple times changes premium user send us users spotify bugfree running app,"@SpotifyCares Yes, multiple times. No changes. I am Premium User an when @115890  send us users to Spotify there should be a bugfree running App 🤨"
550,sorry hear spotify app windows phone currently maintenance mode info here rs,@115889 Sorry to hear that. The Spotify app on Windows Phone is currently in maintenance mode. More info here: https://t.co/KSq4qse4dE /RS
551,way manage albums recently added eg app mess,@SpotifyCares 2/2... and there is no way to manage Albums (recently added e.g.) in the App. It's a mess 😲 https://t.co/RlWuqllt8S
552,hey there sound good whats happening exactly let us know app version using pb,@115889 Hey there! That doesn't sound good. What's happening exactly? Can you let us know the app version you're using? /PB
553,groove music quits amp redirect spotify wm app bugfes updates possible,@SpotifyCares @115890 Groove Music quits &amp; redirect to Spotify. But the W10M App is a bugfest.. Any further Updates possible?
554,worries questions give us shout gs,"@115891 No worries. If you have other questions, just give us a shout 😉 /GS"
555,ok thx,@SpotifyCares ok thx
556,hey mikey were afraid theres way filter search way well pass suggestion relevant folks gs,"@115891 Hey Mikey! We're afraid there's no way to filter or search that way, but we'll pass that suggestion on to the relevant folks /GS"
557,way find nonexplicit songs explicit,is there a way to find non-explicit songs that are explicit @SpotifyCares
558,caused were unable offer complimentary upgrade however quote upgrade would like us to,"@115892 caused. We're unable to offer a complimentary upgrade, however we can quote an upgrade if you would like us to? ^Jane 2/2"
559,sure much would upgrade cost curiosity,"@British_Airways Sure, how much would an upgrade cost, out of curiosity?"
560,please dm us booking reference email address contact number look thanks,"@115892 Please can you DM us your booking reference, email address and contact number? We can then look into this for you. Thanks. ^Jane"
561,or importantly earlier flights itinerary rebooked on thats preference,"@British_Airways Or, more importantly, are there earlier flights than the itinerary I was rebooked on? That's my preference."
562,itinerary preferredi unable view options manage booking link included original cancelation email,"@British_Airways This itinerary is preferred--I was unable to view other options in the ""Manage my Booking"" link included in the original cancelation email. https://t.co/kfddWeSW49"
563,assume sapphire matter ill find way iad bwi upon landing thats car parked,@British_Airways I assume that being Sapphire does not matter? I'll have to find a way from IAD to BWI upon landing... Because that's where my car is parked.
564,hi flight manlhrbwi nov canceled excited try club product available flight iad hassle rebooked anywaymy option availability first class ba troubles please,"Hi @British_Airways! My flight from MAN--LHR--BWI for Nov. 3 was canceled. I was excited to try your Club 787 product. Only available flight is now to IAD which is a hassle, but rebooked anyway--my only option! Any availability in first class on BA293 for the troubles please?"
565,email address contact telephone number well look complaint contact update,@115893 email address and contact telephone number. We'll look into your complaint and contact you for an update 2/2. ^Oliver
566,info check sanket thakur supposedly heshe customer service rep reference number,"@British_Airways You have all my info.  Check with Sanket Thakur.  Supposedly, he/she is a ""customer service"" rep.  Reference number is 16934380."
567,ever address complaintclaim or ignore yrs up,"@British_Airways  will you ever address my complaint/claim?  Or, do you just ignore it until the 2 yrs are up?"
568,email address contact telephone number apologise delay response,@115894 email address and contact telephone number. We apologise for the delay in our response 2/2. ^Oliver
569,booking ref mpv qmas second one sons sent info told im entitled anything,"@British_Airways Booking ref MP79V2 and QMAS91 second one is my son's, have sent all info in being told I'm not entitled to anything?"
570,us booking ref email address contact number,"@115894 us your booking ref, email address and contact number. 2/2 ^Linda"
571,pay hotel good bill cancelling flight home,@British_Airways Will you pay me my hotel and good bill for cancelling my flight home
572,get payday party started european destinations eachway less,Get the payday party started with 40 European Destinations for £40 each-way or less
573,hi sam correct email,"@115895 Hi Sam, that is the correct email. ^Helen"
574,confirm email would send passport details change name ticket email,@British_Airways can I just confirm the email that would send passport details to change a name on a ticket is __email__?
575,hi sreejit info yet please keep eye online updated soon know,"@115896 Hi Sreejit, we have no info about this as yet. Please keep an eye online as this will be updated as soon as we know. ^Helen"
576,heres news article case guys need updates future share thanks,"@British_Airways https://t.co/NM3ZczuH2W here's the news article in case you guys need it. If you have any updates in the future, do share. Thanks."
577,thanks sreejit would recommend checking manage booking updates,"@115896 Thanks Sreejit, we would recommend checking on Manage My Booking for any updates. ^Jane"
578,runway maintenance delhi nov flights cancelled wanted know status ba lhrdel nov,"@British_Airways runway is under maintenance at Delhi from 7 nov. flights have been cancelled. Wanted to know status of BA0257, lhr-del 7nov"
579,hi david confirmation emails take hrs waiting longer this,"@115897 Hi David, confirmation emails can take up to 24 hrs. Have you been waiting longer than this? ^Helen"
580,hours could please assist thanks email address email,@British_Airways It's been 24 hours now. Could you please assist? Thanks. My email address is __email__
581,yet thought strange received confirmation email one flights thanks,"@British_Airways Not yet, but I thought it was strange that I received a confirmation email for one of the flights, but not the other. Thanks."
582,hi david could let us know flights booked dates travel along full name contact number thanks,"@115897 Hi David, could you let us know the flights you've booked and dates of travel, along with your full name and contact number. Thanks. ^Sophie"
583,amsterdam london london athens received confirmation contact,"@British_Airways Amsterdam to London on 28/11/17
London to Athens on 30/11/17 - have received confirmation for this

Contact: +49 1708733216"
584,full name david simons,@British_Airways Full name: David Simons
585,update sophie thanks,"@British_Airways Any update, Sophie? Thanks."
586,well check you david provide us booking reference confirmation have please send via dm,"@115897 We'll check this for you, David. Can you provide us with the booking reference for the confirmation you have? Please send this via DM. ^R"
587,made two bookings received confirmation email one flights little help,"@British_Airways I made two bookings, but only received a confirmation email for one of the flights. Little help?"
588,definitely want make sure charges correct please dm address phone better assist,@115898 I definitely want to make sure your charges are correct. Please DM me your address and phone# so I can better assist. -SLM
589,,@comcastcares ✔
590,tired getting charged equipment returned months ago please stop,.@comcastcares tired of getting charged for equipment that was returned months ago. Please stop it.
591,address phone number assist issue thanks,"@115899 address, and phone number so I can assist further with this issue. Thanks! -KW"
592,sent thank,@comcastcares Sent and thank you
593,hi got odd text alert service would get alerts,@115900 hi I got some odd text alert from you I don't have your service why would I get alerts
594,hi ill happy look text received see help please send dm full name,"@115899 Hi, I'll be happy to look into the text you received and see what I can do to help. Please send a DM with your full name,"
595,hello checked scheduled menu may series recording scheduled matt,"@115901 Hello, have you checked your scheduled menu? You may have a series recording scheduled. - Matt"
596,phoenix suns auto record nba team channel trying record tonight want regular broadcast games recorded like tivo,@comcastcares Phoenix Suns are on auto record. NBA Team Channel 752 trying to record tonight. I only want regular broadcast games recorded like TiVo does.
597,set recording sports team try record available network matt,@115901 If you set a recording for a sports team it will try to record it on any available network. - Matt
598,thanks reply thats said update software knows record unavailable channel software,"@comcastcares Thanks for your reply but that's why I said Update your Software. If  @115902 knows not to record on an unavailable channel, it's software."
599,certainly share feedback moving forward were always looking improve customer experience,@115901 We can certainly share your feedback moving forward as we're always looking to improve the customer experience. -DSC
600,record programs dvr channels subscribe to blank recordings nba lp,Why does @115900 record programs on my DVR from channels I don't subscribe to? Blank recordings. I don't have NBA LP! #UpgradeYourSoftware! https://t.co/0ir2a2rSt1
601,send us direct message account information see whats going –xg,@115903 and send us a Direct Message with your account information so that I can see what's going on. –XG
602,wow want watch world series decides outage,wow when you want to watch the world series and @115900  decides to have an outage!!!!
603,well sure pass along kind words,@115904 We'll be sure to pass along your kind words! #AATeam
604,erica lax team amazing give raise ty,@AmericanAir Erica on the lax team is amazing give her a raise ty
605,apologies delay responding made lax let us know still need assistance,@115904 Our apologies for the delay in responding to you. Have you made it to LAX? Let us know if you still need assistance.
606,could someone lax team available guide gate asap,@AmericanAir Could you have someone on your lax team available to guide me to my gate ASAP
607,flight pm mins im almost lax im legally blind didnt know let know need assistance,@AmericanAir have a flight at 330pm (45mins) I’m almost to Lax. I’m legally blind and didn’t know where to let you know I need assistance.
608,aww thats definitely future pilot making,"@115905 Aww, that's definitely a future pilot in the making! #HappyHalloween"
609,ben tennyson american airlines pilot …,Ben Tennyson and an American Airlines pilot. 🎃 #trunkortreat #halloween #2017 #diycostume #parenting @americanair … https://t.co/f1nNHQ0iLa https://t.co/lDViDkRdB1
610,great option customers want share miles cheaper purchase,@115906 This is a great option for customers who want to share miles and it's cheaper than having to purchase them.
611,right earned also shouldnt pay pass spouse need change program,"@AmericanAir Right, but I earned those. I also shouldn’t have to pay to pass them to my own spouse. You need to change your program."
612,were sorry frustration,@115906 We're sorry for your frustration.
613,im sorry what its going cost transfer aa advantage points spouse ridiculous,"I’m sorry, what? It’s going to COST me $50 to transfer 4,000 AA Advantage points to my spouse? @AmericanAir this is ridiculous!!"
614,always pleasure board john wonderful flight pond,"@115907 It's always a pleasure to have you on board, John. Have a wonderful flight over the pond!"
615,heading london tonight days exciting stuff get drinks ready coming aboard jb,Heading to London tonight will be there for 5 days doing some exciting stuff:) @AmericanAir get the drinks ready I coming aboard:) JB
616,pilots potter pumpkins skeleton my theyre adorable,"@115908 Pilots, Potter, Pumpkins and Skeletons...oh my! They're all adorable."
617,check tiny trickortreaters dressed hey youngest training,Check out these tiny trick-or-treaters all dressed up in our #NICU. Hey @AmericanAir! We have your youngest #pilot in training! #Halloween https://t.co/0C3aXJhiAg
618,were glad got kick back enjoy show flying thanks kind words,@115909 We're glad you got to kick back and enjoy a show while flying! Thanks for your kind words.
619,thank you playing great flight attendants flight back home,"Thank you, @AmericanAir for playing #ThisIsUs and for having great flight attendants on my flight back home!"
620,hey trevor send us dm well take closer look kellenf,"@115910 Hey, Trevor! Send us a DM, and we'll take a closer look! *KellenF"
621,sweet im still paying plus jump way find situation much money need put down,@115911 Sweet! I’m still paying on my 7plus but I have a jump. Any way to find out what to do in my situation and how much money I need to put down?
622,sir still preorder joano,@115910 No sir! You can still preorder at https://t.co/E7pnnCVItW *JoanO
623,pre orders done x,@115911 Are pre orders done for the X?
624,go trevor eriks,@115910 Go for it Trevor *ErikS
625,question,@115911 I have a question.
626,ready next iphone join iphone upgrade program free,"Be ready for your next iPhone. Join our iPhone upgrade program for free!
 https://t.co/ELb8YQspF6"
627,thanks getting dm sent ive got replying raybutler,@115912 @115913 Thanks for getting that DM sent over - I've got it and am replying now. https://t.co/93XwcSKFIy *RayButler
628,upfront hope mean upfront fees dm sent,"@115913 @115911 By 'upfront' I hope you don't mean 'upfront fees""!  DM sent!"
629,called switch atampt wanted switch phones said way inconsistent messaging shame,@115913 @115911 just called in to switch from AT&amp;T. They wanted $75 to switch 3 phones! I said no way! Inconsistent messaging - shame!
630,yay tmobile tuesdays letss get taken care of send dm way erikaholeman,@115914 Yay for T-Mobile Tuesdays- lets's get you taken care of! Send a DM my way: https://t.co/jGtdfLsVbg *ErikaHoleman
631,trying redeem free tuesday code letting telling theres error get help this,@TMobileHelp trying to redeem a free tuesday code and its not letting me telling me theres an error can i get help with this?
632,well wed happy take look see whats going on jenny dm us were keep connected joano,"@115915 Well, we'd be happy to take a look at that and see what's going on, Jenny. DM us, we're here to keep you connected. *JoanO"
633,tmobile bs internet stop working hours,T-Mobile So Bs My Internet Stop Working For 3 Hours https://t.co/YISXwAHace
634,hey want help questions feel free shoot us dm katgrisham,@115916 Hey we are here and we want to help! If you have any questions feel free to shoot us a DM! *KatGrisham
635,opportunity passed bad customer experience amp going back ever,No. That opportunity has passed. Bad customer experience @115911 &amp; @343   Not going back ever again. #FAIL https://t.co/05pINkDFGd
636,dm at robfahl,@115917 Can I have you DM me at: https://t.co/rYd2PDuSPi *RobFahl
637,,@TMobileHelp  https://t.co/tznFggbx3Y
638,want help great deal shoot dm angieshaw,@115917 We want to help you with this great #TMobileTuesday deal! Shoot me a DM here https://t.co/jAb1JkOMRy  *AngieShaw
639,ok maybe problem let try resizing,@TMobileHelp @115918 OK maybe my problem too let me try that resizing.
640,welcome thanks letting us know need anything else kennethstone,@115918 You are welcome and thanks for letting us know. If you need anything else we are here for you. #HappyTMobileTuesday *KennethStone
641,got one resized x instead alerting take coupon code resized worked thanks,@TMobileHelp Got it. One of them resized to 4x4. So instead of alerting me it just wouldn't take the coupon code. I resized it and it worked. Thanks.
642,want work perfectly least photos selected not add another try dm w questions chrisbradstreet,"@115918 We want this to work perfectly! Do you have at least 10 photos selected? If not, add another and try. DM w/ any questions! *ChrisBradstreet"
643,code working applied checkout please look this,@TMobileHelp @1247 The @10568 code is not working when applied at checkout. Can you please look into this? https://t.co/SJvM7AW24t
644,unhappy experience call please contact us website,@115919 If you're unhappy with your experience on this call please contact us on our website: https://t.co/rkAZcF6uR3 ^CB
645,wait almost hours rude arrogant amp unhelpful raising technical case,@VirginTrains so i wait almost 3 hours and then they are rude and arrogant &amp; unhelpful after which she is raising a technical case https://t.co/yi9oxFMatO
646,need contact aftersales team,@115920 You'd need to contact our Aftersales team on 0344 556 5650 from 8am ^CB
647,thanks,@VirginTrains thanks!
648,hi need help booking need change made mistake contact,"@VirginTrains hi! i need some help with a booking i need to change, and made a mistake on. who can i contact?"
649,amending ticket system would show fare matches previous purchase may higher,"@115919 When amending a ticket the system would show a fare that matches your previous purchase, but this may be higher ^CB"
650,got ta luv finally get call cntr tried charge ticket b purchased online,"Gotta luv @VirginTrains finally get 2 call cntr, they tried to charge me £176 for a ticket which can b purchased for £88 online https://t.co/I7rkohYqaI"
651,yes need select return journey ticket flexibility menu select open return,@115921 Yes it does. You need to select the return journey then in the ticket flexibility menu you can select open return ^CB
652,thanks see real shame poor new app though,"@VirginTrains Thanks, see it now. Real shame about how poor the new App is though."
653,hi new app option buy open return,@VirginTrains Hi- does the new app have an option to buy an open return?
654,stage sadly lines reopen shortly services move,"@115922 Not at this stage sadly, but the some lines will reopen shortly so services will be on the move ^CB"
655,thanks,@VirginTrains Thanks
656,daughter euston train stuck outside preston timeframes arrival,@VirginTrains My daughter is on the Euston train stuck just outside Preston. Any timeframes for arrival?
657,due emergency services dealing incident preston lines closed,#VTNEW Due to the emergency services dealing with an incident at Preston all lines are closed.
658,information im afraid andy,@115923 We don't have that information here I'm afraid Andy ^CB
659,targets next season see prices go up assume set performance targets reflective,"@VirginTrains What are your targets for next season? I see your prices go up, so I assume you've set performance targets reflective of that."
660,delays control work network rail try reduce problems,"@115923 These delays are out of our control, but we do work with Network Rail to try and reduce any problems ^CB"
661,oh thats nice it targets next year,"@VirginTrains Oh, that's nice. What are you doing about it? What are you targets next year?"
662,understand frustration causes andy,"@115923 I understand the frustration this causes, Andy ^CB"
663,always supposedly acceptable reason yes get that one uses trains every week spends lot money late regularly acceptable,"@VirginTrains Always some supposedly acceptable reason, yes I get that, but when one uses the trains every week and spends a lot of money, for it to be late regularly is just not acceptable."
664,sadly service delayed due fault line,@115923 Sadly the service has been delayed due to a fault on the line ^CB
665,euston im waiting bham int also late,@VirginTrains The 06:20 from Euston. Now I'm here waiting on the 19:00 from B'ham int. Also late.
666,hi andy really sorry hear service travelling please,"@115923 Hi Andy, really sorry to hear this. Which service are you travelling on please? ^HP"
667,least third time year miss meeting especially took train first place often late refund doesnt qualify next season car,"@VirginTrains For at least the third time this year, I will miss the meeting I especially took the train for in the first place. So often late. No refund because it ""doesn't qualify"". Next season = car."
668,lines reopening shortly get delays expected,@115924 Some lines will be reopening shortly so you'll get through but delays are expected ^CB
669,thanks hour away fingers crossed,"@VirginTrains Thanks, we are an hour away so fingers crossed!!"
670,enroute preston euston wait out,@VirginTrains We are enroute to Preston Now from Euston. Will we have to wait it out?
671,were truly sorry hear please pm us info followup,@115925 We're truly sorry to hear that. Please PM us more info so we can followup with you. ^VP
672,really hadthe worst experience ever start finish never fly internationally,I really hadthe WORST experience ever from start to finish with @SouthwestAir  will never fly internationally again with them
673,happy hallown bottoms up risa,"@115926 Happy HalloWN! Bottoms up, Risa! ^SL"
674,celebrated halloween flight pumpkin spice delicious free o…,Celebrated Halloween on a @southwestair flight with my pumpkin spice @15890 and a delicious (free) @115927 O… https://t.co/GGPGaaFVq2 https://t.co/gnCxPEsaEv
675,aim please eric love means world us cant wait share skies soon,"@115928 We aim to please, Eric! Your love means the world to us, and we can't wait to share the skies with you again soon! ^MK"
676,thanks wonderful crews flights amp getting us sacramento kc safe sound,Thanks to the wonderful @SouthwestAir crews of flights 1732 &amp; 560 for getting us from Sacramento to KC safe and sound! #YouRock
677,please dm us picture error receiving,@115929 Please DM us a picture of the error you're receiving. ^MA
678,working,@SouthwestAir Its working again
679,oh good happy hear that jenessa hope see onboard soon,"@115929 Oh good! Happy to hear that, Jenessa. We hope to see you onboard soon! ^MA"
680,consider st reported error,@SouthwestAir consider this your 1st reported error
681,hm reported errors lately tried accessing rr account via different browser,"@115929 Hm, we haven't had any reported errors lately. Have you tried accessing your RR account via a different browser? ^MA"
682,account page,@SouthwestAir is down on the my account page 😑😑
683,hi simon im sorry hear this sounds like account may compromised strongly advise contact security teams gt havent already done so make sure ensure account fully secured,"@115930 Hi Simon! I’m sorry to hear this! Sounds like your account may have been compromised. I strongly advise you to contact our security teams &gt; https://t.co/hV7XdVcjA7 if you haven’t already done so, to make sure you do to ensure your account is fully secured. ^GR"
684,sure getting refunded sellers meantime,@AskeBay sure will do. Getting refunded by the sellers in the meantime.
685,thanks update simon please let us know theres anything help with great day,@115930 Thanks for the update Simon! Please let us know if there’s anything we can help you with! Have a great day! ^GR
686,change password turn twostep verification else you too may receive paypal receipt van reversing camera random delivery address walthamstow,"Change your @115931 password and turn on two-step verification or else you, too, may receive a paypal receipt for a van reversing camera with a random delivery address in Walthamstow."
687,love give free boos much were basically ghosts happy hallown bottoms up,"@115932 We love to give out free boos so much, we're basically ghosts! Happy HalloWN and bottoms up! ^SL"
688,best part halloween free drinks flights holidayits spooktacular,Best part of my Halloween? Free drinks on all my @SouthwestAir flights for the holiday👻It’s spooktacular.
689,thats music ears call us southbest reason,@115933 That's music to our ears! They call us Southbest for a reason. ^SL
690,to im super excited get try entire trip again least time know ill best time due yall,"@SouthwestAir Me to! I'm super excited, get to try this entire trip all over again, and at least this time I know I'll have the best time due to y'all ☺️"
691,weve got date circled calendar counting minutes welcome onboard,@115933 We've got the date circled on our calendar! Counting down the minutes until we can welcome you onboard. ^SL
692,seeing end month concert missed flight american airlines thank guys,"@SouthwestAir You'll be seeing me at the end of this month for the concert I missed my flight for because of American Airlines, thank you again guys 💕"
693,hope see onboard soon,@115933 We hope to see you onboard soon! ^MS
694,guys amazing seriously thank bottom heart,"@SouthwestAir You guys are amazing, seriously thank you from the bottom of my heart!"
695,were customer service company happens also fly airplanes heather thanks sharing love,"@115933 We're a Customer Service Company that just happens to also fly airplanes, Heather. Thanks for sharing the love! ^NA"
696,guys helped much trying get flight even yours amazing company amazing people thank much,"@SouthwestAir You guys helped me so much trying to get me on a flight that was not even through yours, amazing company, amazing people, thank you so much💕"
697,cause traveling us mean cant heather glad could help great weekend,"@115933 Just 'cause you're not traveling with us doesn't mean we can't be there for you Heather! Glad we could help, and have a great weekend! ^SO"
698,helped try get flight flight aa wow loss words,@SouthwestAir helped me out to try to get through to my flight when my @AmericanAir didn't and my flight was with AA. Wow. Loss for words
699,yup errors even turned ad blocker,"@SouthwestAir yup all 400 errors, even turned off my ad blocker"
700,happy take look this christine please dm us confirmation number follow,"@115934 Happy to take a look into this, Christine. Please DM us your confirmation number so we can follow up. ^MA"
701,would receiving errors try checkin flight takes keep getting error message,@SouthwestAir Why would we be receiving errors when we try to check-in? Our flight takes off at 4 but we keep getting error messages...
702,hallown win sure enjoyed spending spooky day you abbye,"@115935 HalloWN for the win! We sure enjoyed spending this spooky day with you, Abbye. ^MA"
703,id fly day year make really fun travel,"I’d fly @SouthwestAir any day of the year, but they make #Halloween really fun to travel on 🎃💀👻"
